Word,Predicted_Label
front,B
##op,B
##ari,B
##etal,B
skull,I
fracture,I
##atom,I
##a,I
heter,B
##ogen,B
##eous,B
plaque,I
cardiac,B
silhouette,I
##tu,B
of,I
the,I
ao,I
##rta,I
morb,B
##id,B
ob,I
##esi,I
##ty,I
id,B
##d,B
##m,B
cop,B
##d,B
hyper,B
##cholesterol,B
##emia,B
h,B
##t,B
##n,B
cough,B
left,B
anterior,I
fa,I
##sci,I
##cular,I
block,I
left,B
ventricular,I
hyper,I
##troph,I
##y,I
dual,I
chamber,I
pacing,I
chest,B
pain,I
pseudo,B
##aneurysm,B
clear,I
cell,I
car,I
##cin,I
##oma,I
pulmonary,B
edema,I
em,B
##esis,B
tac,B
##hy,B
##cardi,B
##c,B
upper,B
gi,I
bleed,I
upper,B
gi,I
bleed,I
pseudo,B
##aneurysm,B
##hy,I
##cardiac,B
ate,I
##lect,I
##asis,I
fever,B
pneumonia,B
tac,B
##hy,B
##cardi,B
##a,B
fever,B
lact,B
5,I
tense,B
abdomen,I
hi,B
##ata,B
##l,B
hern,I
##ia,I
cell,B
##uli,B
##tis,B
##cardiac,B
ate,I
##lect,I
##asis,I
al,B
##z,B
##heimer,B
##s,B
dem,B
##enti,B
##a,B
cop,B
##d,B
fever,B
tac,B
##hy,B
##cardi,B
##a,B
elevated,B
lact,I
##ate,I
seizure,B
##s,B
left,B
lower,I
lobe,I
retro,I
##cardiac,I
tb,B
##i,B
fever,B
and,B
[SEP],B
by,I
a,I
drunk,I
driver,I
traumatic,B
brain,I
injuries,I
fever,B
vent,B
sh,I
traumatic,B
brain,I
injury,I
g,B
tube,I
placement,I
vertical,B
mid,I
##ling,I
sa,I
##cra,I
##l,I
fracture,I
oss,I
##ific,I
##ans,I
generalized,B
seizure,I
hydro,B
##cephal,B
##us,B
fracture,I
##s,I
ple,B
##ural,B
eff,I
##usion,I
ct,B
head,I
w,I
/,I
o,I
contrast,I
hydro,B
##cephal,B
##us,B
fever,B
bi,B
##lat,B
lower,I
ext,I
veins,I
fever,B
seizure,B
##s,B
tb,B
##i,B
seizure,B
##s,B
hydro,B
##cephal,B
##us,B
ct,B
head,I
w,I
/,I
o,I
contrast,I
hydro,B
##cephal,B
##us,B
per,B
##ive,B
##nt,B
##ric,B
##ular,B
hyp,I
##ode,I
##ns,I
##ities,I
ct,B
head,I
w,I
/,I
&,I
w,I
/,I
o,I
contrast,I
tb,B
##i,B
fever,B
traumatic,B
brain,I
injury,I
fever,B
[SEP],B
mal,B
##ign,B
##ant,B
me,I
##lan,I
##oma,I
of,I
skin,I
and,I
scalp,I
and,I
neck,I
/,I
s,I
##da,I
p,B
##mo,B
##cephal,B
border,B
##line,B
axis,I
dev,I
##iation,I
mild,B
dependent,I
ate,I
##lect,I
##asis,I
ct,B
##a,B
ct,B
chest,I
w,I
/,I
o,I
contrast,I
pain,I
hyp,B
##ona,B
##trem,B
##ia,B
dem,B
##enti,B
##a,B
h,B
##t,B
##n,B
elevated,B
lip,I
##ase,I
hyp,B
##ona,B
##trem,B
##ia,B
syndrome,B
of,I
inappropriate,I
secret,I
##ion,I
of,I
anti,I
##di,I
##ure,I
##tic,I
hormone,I
sia,B
[SEP],B
cardiac,B
arrest,I
riding,B
his,I
bike,I
with,I
a,I
helmet,I
at,I
a,I
low,I
speed,I
and,I
hit,I
a,I
pot,I
hole,I
c,B
##2,B
cord,I
injury,I
ano,B
##xi,B
##c,B
brain,I
injury,I
non,B
-,B
displaced,B
int,I
##ra,I
-,I
articular,I
distal,I
radial,I
fracture,I
fracture,B
through,I
the,I
fifth,I
meta,I
##carpal,I
neck,I
dorsal,I
angulation,I
eth,B
##moi,B
##d,B
di,B
##lated,B
ascending,I
ao,I
##rta,I
tr,B
.,B
mild,B
pa,I
sy,I
##sto,I
##lic,I
hypertension,I
end,B
##ot,B
##rac,B
##hea,B
##l,B
tube,I
bi,B
##basilar,B
ate,I
##lect,I
##asis,I
den,B
##s,B
fracture,I
cardiac,B
arrest,I
seizure,B
asy,B
##sto,B
##lic,B
arrest,I
chest,B
(,I
portable,I
ap,I
),I
acute,B
cardi,I
##op,I
##ul,I
##mona,I
##ry,I
process,I
free,B
air,I
under,I
diaph,I
##rag,I
##m,I
gi,B
[SEP],B
gi,B
bleed,I
nausea,B
and,I
vomit,I
##ing,I
##stom,B
##y,B
hypertension,B
hyper,B
##lipid,B
##emia,B
[SEP],B
hypertension,B
ane,B
##mia,B
gi,B
bleed,I
blood,B
loss,I
ane,I
##mia,I
lb,B
##p,B
h,B
##t,B
##n,B
chronic,B
l,I
r,B
t,I
##ka,I
appe,B
##nde,B
##ct,B
[SEP],B
tha,B
ug,B
##ib,B
gi,B
bleed,I
acute,B
renal,I
failure,I
elevated,B
lactic,I
acidosis,I
right,B
upper,I
lobe,I
pulmonary,I
nod,I
##ule,I
emp,B
##hy,B
##sem,B
##a,B
##ic,B
lower,B
gi,I
bleed,I
from,I
ce,B
##cal,B
poly,I
##pect,I
##omy,I
[SEP],I
fe,B
##bri,B
##le,B
asy,B
##mme,B
##tric,B
edema,I
ut,B
##i,B
tac,B
##hy,B
uro,B
##sepsis,B
dm,B
##2,B
al,B
##z,B
##heimer,B
',I
s,I
dem,I
##enti,I
##a,I
sc,B
##hi,B
##zophrenia,B
so,B
##m,B
##no,B
##len,B
##ce,B
fever,B
tac,B
##hy,B
##cardi,B
##a,B
positive,B
ua,I
acute,B
renal,I
failure,I
acute,B
sep,B
##sis,B
from,I
urin,I
##ary,I
tract,I
infection,I
cv,B
##a,B
dm,B
##2,B
renal,B
ins,I
##uff,I
##iciency,I
hyper,B
##calc,B
##emia,B
h,B
##t,B
##n,B
ger,B
##d,B
oste,B
##oar,B
##thri,B
##tis,B
ane,B
##mia,B
severe,B
al,I
##z,I
##heimer,I
',I
s,I
sc,B
##hi,B
##zophrenia,B
ut,B
[SEP],B
ct,B
o,I
lower,B
gi,I
##b,I
coronary,B
artery,I
calc,I
##ifications,I
duo,B
##den,B
##itis,B
duo,B
##den,B
##itis,B
gi,B
bleed,I
diver,B
##tic,B
##ulos,B
##is,B
hem,B
##ico,B
##lect,B
##omy,B
dem,B
##enti,B
##a,B
col,B
##on,B
cancer,I
me,B
##lena,B
ple,B
##ural,B
eff,I
##usion,I
chest,B
(,I
portable,I
ap,I
),I
gu,B
##aia,B
##c,B
hypertension,B
hypertensive,B
edema,B
cardi,B
##ome,B
##gal,B
##y,B
ventricular,B
hyper,I
##troph,I
##y,I
left,B
ventricular,B
hyper,I
##troph,I
##y,I
sy,I
##sto,I
##lic,I
dy,I
##s,I
##function,I
left,B
ventricular,I
hyper,I
##troph,I
##y,I
sy,I
##sto,I
##lic,I
dy,I
##s,I
##function,I
pulmonary,I
hypertension,I
hypertensive,B
acute,B
injury,I
ast,B
##hm,B
[SEP],B
renal,B
artery,I
ste,I
##nosis,I
hypertension,B
left,B
ventricular,I
hyper,I
##troph,I
##y,I
global,I
sy,I
##sto,I
##lic,I
dy,I
##s,I
##function,I
left,B
lower,I
lobe,I
ate,I
##lect,I
##asis,I
ple,B
##ural,B
eff,I
##usion,I
rh,B
##onc,B
##hi,B
rh,B
##onc,B
##hi,B
rh,B
##onc,B
##hi,B
rh,B
##onc,B
mildly,B
leth,B
##arg,B
##ic,B
chest,B
(,I
portable,I
ap,I
),I
l,B
-,B
spine,B
(,I
ap,I
&,I
la,I
##t,I
),I
in,I
o,I
.,I
r,I
.,I
lum,B
##bar,B
sp,I
##ond,I
##yl,I
##osis,I
disc,I
de,I
##generation,I
acute,B
post,I
-,I
op,I
ane,B
##mia,B
[SEP],I
dy,B
##sl,B
##ip,B
##ide,B
##mia,B
ast,B
##hm,B
##a,B
dm,B
ane,B
##mia,B
fever,B
ap,B
chest,I
dy,B
##sl,B
##ip,B
##ide,B
##mia,B
ast,B
##hm,B
##a,B
dm,B
ane,B
##mia,B
tia,B
bra,B
##dy,B
##cardi,B
##c,B
cop,B
##d,B
hyp,B
##ote,B
##ns,B
##ion,B
l,B
9th,I
rib,I
f,I
##x,I
sp,B
##len,B
##ic,B
injury,I
chest,B
(,I
portable,I
ap,I
),I
hyp,B
##ote,B
##ns,B
##ion,B
upper,I
lobe,I
ple,B
##ural,B
eff,I
##usion,I
lung,B
cancer,I
tac,B
##hypn,B
##ei,B
##c,B
ple,B
##ural,B
disease,I
pneumonia,B
tac,B
##hypn,B
##ei,B
##c,B
acute,B
cord,I
compression,I
short,B
##ness,B
of,I
breath,I
ple,B
##ural,B
eff,I
##usion,I
post,B
obstructive,I
pneumonia,I
mass,B
ab,I
##utt,I
##ing,I
ru,I
##l,I
br,I
##onc,I
##hus,I
tac,B
##hypn,B
##ei,B
##c,B
weight,B
loss,I
numb,B
##ness,B
right,B
upper,I
lobe,I
br,I
##hus,I
meta,B
##static,B
pan,B
##ic,B
duct,I
##al,I
di,I
##lat,I
d,B
##v,B
##t,B
per,B
##ica,B
##rdi,B
##al,B
eff,I
##usion,I
chest,B
(,I
portable,I
ap,I
),I
sob,B
tac,B
##hy,B
##cardi,B
[SEP],B
ap,B
##ical,B
p,I
##neu,I
##mot,I
##hora,I
##x,I
ple,B
##ural,B
eff,I
##usion,I
opa,B
##ci,B
##fication,B
acute,B
cord,I
compression,I
tac,B
##hypn,B
##ei,B
##c,B
tac,B
##hypn,B
##ea,B
light,B
##headed,B
##ness,B
slow,B
[SEP],I
atrial,B
fib,I
##rilla,I
##tion,I
park,B
##ins,B
##on,B
disease,I
my,B
##x,B
##oma,B
##to,B
##us,B
mit,I
##ral,I
valve,I
disease,I
par,B
##ox,B
##ys,B
##mal,B
atrial,I
fib,I
##rilla,I
##tion,I
cardi,B
##omy,B
##op,B
##athy,B
light,B
##headed,B
##ness,B
near,B
syn,B
##cope,B
und,B
##ef,B
##ined,B
illness,I
weight,B
loss,I
bra,B
##dy,B
##cardi,B
##c,B
nausea,B
dia,B
##rr,B
##hea,B
fever,B
vomit,B
##ing,B
diver,B
##tic,B
##uli,B
##tis,B
dia,B
##rr,B
##hea,B
diver,B
##tic,B
##uli,B
##tis,B
elevated,B
in,I
##r,I
dia,B
##rr,B
##hea,B
chol,B
##ed,B
##och,B
##oli,B
##thi,B
##asis,B
dia,B
##rr,B
##hea,B
ll,B
##q,B
dia,B
##rr,B
##hea,B
in,B
##r,B
elevated,I
dia,B
##rr,B
##hea,B
opa,B
##ci,B
##fication,B
dia,B
##rr,B
##hea,B
p,B
##neu,B
##mobil,B
##ia,B
diver,B
##tic,B
##ula,B
diver,B
##tic,B
##ula,B
sph,B
##inc,B
##tero,B
##tom,B
##y,B
chol,B
##ed,B
##och,B
##oli,B
##thi,B
##asis,B
l,B
##fts,B
diver,B
##tic,B
##ula,B
diver,B
##tic,B
##uli,B
##tis,B
chol,B
##ed,B
##och,B
##oli,B
##thi,B
##asis,B
ventral,B
hern,I
##ia,I
vomit,B
##ing,B
abdominal,B
pain,I
dia,B
##rr,B
##hea,B
fever,B
##s,B
with,B
liver,B
or,I
gall,I
##bladder,I
us,I
chol,B
##ed,B
##och,B
##oli,B
##thi,B
##asis,B
fever,B
pan,B
abdominal,B
[SEP],I
chol,B
##eli,B
##thi,B
##asis,B
bi,B
obstr,I
##uction,I
abdominal,B
pain,I
fever,B
am,B
erc,B
##p,B
bi,I
##lia,I
##ry,I
&,I
pan,I
##cre,I
##as,I
by,I
gi,I
unit,I
fever,B
mildly,B
mit,I
##ral,I
valve,I
mildly,B
thick,I
##ened,I
tric,I
##us,I
##pid,I
valve,I
##oki,I
##nes,I
bra,B
##dy,B
##cardi,B
##a,B
conduct,B
##ion,B
delay,I
:,B
s,B
[SEP],B
oste,B
##oar,B
##thri,B
##tis,B
bp,B
##oki,I
##nes,I
bra,B
##dy,B
##cardi,B
##a,B
conduct,B
##ion,B
delay,I
hem,B
##ith,B
##orax,B
ct,B
head,I
w,I
/,I
o,I
contrast,I
sinus,B
bra,I
##dy,I
##cardi,I
##a,I
sinus,B
arrhyth,I
##mia,I
mr,B
right,B
par,I
##iet,I
##al,I
brain,I
tumor,I
/,I
s,I
##da,I
ple,B
##ural,B
eff,I
##usion,I
hem,I
##or,I
chest,B
(,I
portable,I
ap,I
),I
##j,I
tube,I
placement,I
left,B
caro,I
##ti,I
##d,I
body,I
tumor,I
/,I
s,I
##da,I
left,B
caro,I
##ti,I
##d,I
body,I
tumor,I
parag,B
##ang,B
##lio,B
##ma,B
##gus,I
gl,I
##om,I
##us,I
tumor,I
parag,B
##ang,B
##lio,B
##ma,B
chest,B
(,I
portable,I
ap,I
),I
left,B
caro,I
##ti,I
##d,I
body,I
tumor,I
/,I
s,I
##da,I
parag,B
##ang,B
##lio,B
##ma,B
chest,B
(,I
portable,I
ap,I
),I
n,I
##j,I
tube,I
placement,I
left,B
caro,I
##ti,I
##d,I
body,I
tumor,I
/,I
s,I
##da,I
chest,B
(,I
portable,I
ap,I
),I
left,B
caro,I
##ti,I
##d,I
body,I
tumor,I
/,I
s,I
##da,I
left,B
body,I
tumor,I
parag,B
##ang,B
##lio,B
##mas,B
hypertensive,B
hyper,B
##kal,B
##emia,B
r,B
##le,B
ll,B
##e,B
renal,B
failure,I
",",I
end,B
stage,I
end,B
stage,I
renal,I
disease,I
hypertension,B
